MM03,ARI Status,Material,Material Type,Product home,Material Description Andritz,Basic material,Code Material,Andritz Standard Text,Andritz Material Code,Material Group,Product hierarchy,Follow up material,X-plant matl status,Andrtiz Reuse Indicator,Base Unit of Measure,Net Weight,Weight unit,Length,Width,Height,Diameter,Thickness,Unit of Dimension,Created by,Created On
@A6@,,100002017,ZSTD,9008,HEX NUT ISO4035 |- M20 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,131479168,30,3,PC,0.040,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002020,ZSTD,9008,HEX NUT ISO4035 |- M20 |AMC 2500 40 08 000,,,200,2500 40 08 000,210401000,9008,131241677,30,3,PC,0,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002044,ZSTD,9008,HEX NUT DIN6330 |- B- M8 |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,30,21,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002045,ZSTD,9008,HEX NUT DIN6330 |- B- M30 |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,30,199,PC,0.419,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002046,ZSTD,9008,HEX NUT DIN6330 |- B- M20 | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,,30,23,PC,0.120,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002047,ZSTD,9008,HEX NUT DIN6330 |- B- M30 |AMC 5003 00 05 000,,,200,5003 00 05 000,210401000,9008,,30,21,PC,0.419,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002058,ZSTD,9008,HEX NUT DIN6331 |- M10 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,21,PC,0.026,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002059,ZSTD,9008,HEX NUT DIN6331 |- M16 |-GALVANIZED |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,90,1,PC,0.033,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002060,ZSTD,9008,HEX NUT (ISO10512) | M14X1.5 | 8 ISO898-2 |,8 ISO898-2,,400516,2500 45 08 000,210401000,9008,,30,21,PC,0.021,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002061,ZSTD,9008,HEX NUT ~ISO10512 |- M6 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,555,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002062,ZSTD,9008,HEX NUT ~ISO10512 |- M5 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,21,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002063,ZSTD,9008,HEX NUT ISO10512 | M24X2 | 8 ISO898-2 |,8 ISO898-2,,400516,2500 45 08 000,210401000,9008,,30,21,PC,0.127,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002064,ZSTD,9008,HEX NUT ISO10512 | M8X1 | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400516,1000 09 08 000,210401000,9008,,30,21,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002065,ZSTD,9008,HEX NUT ISO10512 |- M12 |-ZINC-PLATED | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,,30,21,PC,0.020,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002066,ZSTD,9008,HEX NUT ISO4032 | - M56 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,81,PC,1.390,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
